店舗区分,店舗名,所在地,地図URL,業種,主な取扱品
一般店,リリースポーツクラブ,水戸市内原町1397-3,https://goo.gl/maps/BfNErd4KRR6Ewd7d9,その他,入会金・受講料・スポーツ用品
一般店,㈱千波タクシー,水戸市城南2-4-4,,その他,タクシー
一般店,関東印刷㈱,水戸市吉沢町352-88,https://goo.gl/maps/edHjPYkQmebM9stn7,その他,印刷物一般
一般店,五光警備保障㈱,水戸市笠原町1497-9,https://goo.gl/maps/Z8hvg4o2yJeyZq1z7,その他,防犯カメラ、セキュリティ機器の販売
一般店,Photo Studio PIC,水戸市酒門町3278-5,https://goo.gl/maps/2DP47E74Gn7EUYru7,その他,家族写真、七五三、お宮参り、ポートレート撮影
一般店,LaLaミヤザキダンスファクトリー,水戸市西原1-1-26,https://goo.gl/maps/NDMgwYVfRnF9atkw7,その他,社交ダンス教授
一般店,㈱央世工務店,水戸市新荘1-5-34,https://goo.gl/maps/UiLQ4Ps1T9C9UJr2A,その他,リフォーム工事他
一般店,㈱大森食品,水戸市小吹町2053-161,https://goo.gl/maps/x3eRfxxCvpDPNzzLA,その他,日替弁当、黄門三昧弁当、梅づくし弁当等
一般店,𠮷久保酒造㈱,水戸市本町3-9-5,https://goo.gl/maps/jE48M2ZMYSVsN3bs5,その他,清酒、リキュール
一般店,茨城青写真製本㈱,水戸市北見町6-31,https://goo.gl/maps/AQahBWtuNJLA6vA87,その他,はがき・ポスター・POP・シール等印刷・製本
一般店,大心堂印房,水戸市平須町1820-31,https://goo.gl/maps/PzrmREFxHu9hehev7,その他,印章、ゴム印、軽印刷
一般店,(有)ユーハイム,水戸市内原1-174,https://goo.gl/maps/ncN2gLXNjXQPxGqZ8,その他,土地・建物・アパート・リフォーム工事
一般店,株式会社　関川畳商店「たたみの関川」,水戸市見和2-232-53,https://goo.gl/maps/jX4cxYVeEPhZSj9y9,その他,畳、障子、襖
一般店,だし司　浜喜,水戸市青柳町4566,https://goo.gl/maps/ub6j56JywXks1ny8A,その他,海産乾物
